route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A,203_1,203_1,Milanówek Grudów,203,0,3,1,1
A,204_1,204_1,Warszawa Śródmieście WKD,204,1,2,1,1
A,205_1,205_1,Milanówek Grudów,205,0,3,1,1
A,206_1,206_1,Warszawa Śródmieście WKD,206,1,2,1,1
A,207_1,207_1,Milanówek Grudów,207,0,3,1,1
A,208_1,208_1,Warszawa Śródmieście WKD,208,1,2,1,1
A,209_1,209_1,Milanówek Grudów,209,0,3,1,1
A,210_1,210_1,Warszawa Śródmieście WKD,210,1,2,1,1
A,211_1,211_1,Milanówek Grudów,211,0,3,1,1
A,212_1,212_1,Warszawa Śródmieście WKD,212,1,2,1,1
A,213_1,213_1,Milanówek Grudów,213,0,3,1,1
A,214_1,214_1,Warszawa Śródmieście WKD,214,1,2,1,1
A,215_1,215_1,Milanówek Grudów,215,0,3,1,1
A,216_1,216_1,Warszawa Śródmieście WKD,216,1,2,1,1
A,217_1,217_1,Milanówek Grudów,217,0,3,1,1
A,218_1,218_1,Warszawa Śródmieście WKD,218,1,2,1,1
A,219_1,219_1,Milanówek Grudów,219,0,3,1,1
A,2202_1,2202_1,Podkowa Leśna Zachodnia,2202,1,4,1,1
A,2203_1,2203_1,Milanówek Grudów,2203,0,5,1,1
A,220_1,220_1,Warszawa Śródmieście WKD,220,1,2,1,1
A,221_1,221_1,Milanówek Grudów,221,0,3,1,1
A,222_1,222_1,Warszawa Śródmieście WKD,222,1,2,1,1
A,223_1,223_1,Milanówek Grudów,223,0,3,1,1
A,224_1,224_1,Warszawa Śródmieście WKD,224,1,2,1,1
A,2250_1,2250_1,Podkowa Leśna Zachodnia,2250,1,4,1,1
A,2251_1,2251_1,Milanówek Grudów,2251,0,5,1,1
A,225_1,225_1,Milanówek Grudów,225,0,3,1,1
A,226_1,226_1,Warszawa Śródmieście WKD,226,1,2,1,1
A,227_1,227_1,Milanówek Grudów,227,0,3,1,1
A,228_1,228_1,Warszawa Śródmieście WKD,228,1,2,1,1
A,229_1,229_1,Milanówek Grudów,229,0,3,1,1
A,230_1,230_1,Warszawa Śródmieście WKD,230,1,2,1,1
A,231_1,231_1,Milanówek Grudów,231,0,3,1,1
A,232_1,232_1,Warszawa Śródmieście WKD,232,1,2,1,1
A,233_1,233_1,Milanówek Grudów,233,0,3,1,1
A,234_1,234_1,Warszawa Śródmieście WKD,234,1,2,1,1
A,235_1,235_1,Milanówek Grudów,235,0,3,1,1
A,236_1,236_1,Warszawa Śródmieście WKD,236,1,2,1,1
A,237_1,237_1,Milanówek Grudów,237,0,3,1,1
A,238_1,238_1,Warszawa Śródmieście WKD,238,1,2,1,1
A,239_1,239_1,Milanówek Grudów,239,0,3,1,1
A,240_1,240_1,Warszawa Śródmieście WKD,240,1,2,1,1
A,241_1,241_1,Milanówek Grudów,241,0,3,1,1
A,242_1,242_1,Warszawa Śródmieście WKD,242,1,2,1,1
A,243_1,243_1,Milanówek Grudów,243,0,3,1,1
A,244_1,244_1,Warszawa Śródmieście WKD,244,1,2,1,1
A,245_1,245_1,Milanówek Grudów,245,0,3,1,1
A,246_1,246_1,Warszawa Śródmieście WKD,246,1,2,1,1
